,longitude,latitude,time,B8,B4,B5,B11,B9,B1,SR_n2,SR_N,TBVI1,NDWI,NDVI_G,sys_index,P,K,OC,N,pH
44,74.9353499603328,33.80095411132944,1613454580078,1906.0,1466.0,1731.0,2528.0,1740.0,996.0,1.4913928012519562,1.7443478260869565,0.600833044081916,-0.1972361809045226,0.22168087697929353,44,19.784545474269542,221.66671231801178,0.196382656808804,242.57487634002698,7.729796297159078
45,74.93526012880439,33.801133774386265,1613454580078,1910.0,1538.0,1427.0,2477.0,1816.0,962.0,1.3469675599435824,1.378836833602585,0.5354596622889306,-0.14783653846153846,0.09248,45,31.380873419700997,228.33970036884793,0.4467406723348821,230.88911442290598,7.251243782168554
46,74.93579911797487,33.80059478521579,1613454580078,1860.0,1406.0,1445.0,2208.0,1575.0,1013.0,1.3191489361702127,1.4505494505494505,0.5314453843324751,-0.13761467889908258,0.13443830570902393,46,23.341453151219334,245.30540580599074,0.5258187288762757,229.03402112031486,7.4741423135171
47,74.93579911797487,33.800684616744206,1613454580078,2030.0,1436.0,1445.0,2208.0,1575.0,1013.0,1.5081723625557206,1.5477386934673367,0.5475558923834786,-0.20260663507109006,0.15716969317470256,47,23.06444004423851,220.2426440741981,0.3425822371506031,257.4342548852543,7.366841152978786
48,74.9939201168574,33.80077444827262,1613454580078,,,,,,,,,,,,48,,,,,
49,74.93579911797487,33.800864279801026,1613454580078,1534.0,1224.0,1279.0,1900.0,1575.0,1013.0,1.1246334310850439,1.2746031746031745,0.5037416305632139,-0.05866114561766736,0.08148148148148149,49,23.633678506117118,211.37288617202256,0.757410611614596,245.86062449483728,7.125083124448142
50,74.93579911797487,33.80104394285785,1613454580078,1346.0,1086.0,1129.0,1852.0,1575.0,1013.0,1.24860853432282,1.3204633204633205,0.5214780600461894,-0.11056105610561057,0.11856091578086672,50,22.038539076243396,266.47020625610315,0.6387110578865913,284.3155757790035,7.081356328466336
51,74.93552962338963,33.800864279801026,1613454580078,1376.0,1136.0,1374.0,2015.0,1740.0,996.0,1.176068376068376,1.3128249566724437,0.5435126582278481,-0.08091123330714847,0.12849162011173185,51,25.448950420507526,269.0340613957322,0.5293478104379272,273.9469354908162,7.063187812077141
52,74.93588894950328,32.65344616739517,1613454594717,,,,,,,,,,,,52,,,,,
53,74.93570928644645,33.800864279801026,1613454580078,,,,,,,,,,,,53,,,,,
54,74.93543979186121,32.65344616739517,1613454594717,,,,,,,,,,,,54,,,,,
55,74.93606861256009,33.80059478521579,1613454580078,,,,,,,,,,,,55,,,,,
56,74.93526012880439,33.80059478521579,1613454580078,1994.0,1558.0,1797.0,2517.0,1740.0,996.0,1.404225352112676,1.6719745222929936,0.5886013756960367,-0.1681312243702402,0.19318181818181818,56,18.44092528950812,203.28148166509473,0.19780113646280845,197.13410181739744,7.846295387466602
57,74.80850784221512,32.655781787133876,1613454594717,2234.0,1268.0,1311.0,1615.0,2107.0,616.0,1.816260162601626,2.1194353963083605,0.5873655913978495,-0.28983833718244806,0.22690131992457574,57,20.895989121828755,211.15786786705044,0.5430944656155295,303.9156348304473,7.334097271192556
58,74.93597878103168,32.65344616739517,1613454594717,,,,,,,,,,,,58,,,,,
59,74.93597878103168,33.80077444827262,1613454580078,2100.0,1474.0,1505.0,2117.0,1575.0,1013.0,1.4542936288088644,1.4589257503949447,0.5431252255503428,-0.18510158013544017,0.1224551807961106,59,22.17257277247626,236.88956147556135,0.40820634635501885,220.13545853546003,7.549963096459354
60,74.93561945491804,32.65344616739517,1613454594717,,,,,,,,,,,,60,,,,,
61,74.93588894950328,33.80095411132944,1613454580078,,,,,,,,,,,,61,,,,,
62,74.83608612143759,33.80104394285785,1613454580078,,,,,,,,,,,,62,,,,,
63,74.93570928644645,33.80095411132944,1613454580078,1198.0,990.0,1129.0,1852.0,1575.0,1013.0,1.1563706563706564,1.4235171696149844,0.5401913875598087,-0.07251566696508505,0.13810316139767054,63,22.69964676837973,268.9439770031061,0.5998951276138353,286.24713631886675,6.962546176577994
